"phrasal_verb","data.derivatives","data.descriptions","data.examples","data.frequency","data.synonyms","data.difficulty","data.tags"
"shoot up","[""shoots up"",""shooting up"",""shot up""]","[""to destroy something by shooting bullets at it"",""to grow taller very quickly"",""to increase quickly by a large amount"",""to put an illegal drug into your body with a needle""]","["") This part here is where the addicts shoot up, chase the Dragon, do whatever."",""Like, Oh, did this poor man try and shoot up a post office on our antidepressant?"",""Petrol prices have shot up in the last six months."",""She’s shot up since the last time we saw her."",""There might be a cave-in, or another geyser might shoot up."",""`Down the A12, round the M25 and then shoot up the M4,' says David.""]",2,"[""expand"",""go up"",""grow"",""increase""]","Hard",\N
"shop around","[""shops around"",""shopping around"",""shopped around""]","[""to consider several possibilities before making a choice about something that you want"",""to go to several shops before you decide what particular thing to buy""]","[""He allowed me to steer him to a little coffee shop around the corner from the police station."",""I think Sue’s shopping around for a new boyfriend."",""I’m shopping around for a new winter coat."",""She was carrying a cup of coffee from the shop around the corner, and she was wearing sunglasses.""]",2,"[""cast around"",""hunt"",""look"",""search""]","Medium",\N
"shore up","[""shores up"",""shoring up"",""shored up""]","[""to give support or help to something that is having problems or is likely to fail"",""to support something such as a wall to prevent it from falling""]","[""He called for action to shore up the ailing university.""]",0,\N,"Medium",\N
"short out",\N,"[""short circuit""]",\N,\N,\N,"Medium",\N
"shout down","[""shouts down"",""shouting down"",""shouted down""]","[""to make it difficult to hear what someone says by shouting while they are speaking""]","[""One had the telephone in his hand, trying to shout down it at the same time as remonstrating with his companion."",""The minister was shouted down as he tried to justify the government’s decision.""]",1,"[""drown"",""drown out"",""overwhelm"",""silence""]","Medium",\N
"shout out","[""shouts out"",""shouting out"",""shouted out""]","[""to interrupt a speech or lecture by shouting something"",""to say something suddenly in a very loud voice""]","[""A few people in the audience shouted out questions."",""An officer was shouting out orders."",""I wanted to shout out and stop her but she was already gone.""]",0,\N,"Medium",\N
"shove around","[""shoves around"",""shoving around"",""shoved around""]","[""to treat someone badly and in an unfair way, especially by giving them orders""]","[""Well, they won’t be able to shove me around any longer.""]",\N,\N,"Medium",\N
"shove off","[""shoves off"",""shoving off"",""shoved off""]","[""if a boat shoves off, it moves away from the land into the water"",""used for telling someone to go away or leave you alone because you are angry or annoyed with them""]","[""Tell your annoying friends to shove off.""]",\N,\N,"Medium",\N
"shove over","[""shoves over"",""shoving over"",""shoved over""]","[""to move in order to make more room for someone else""]",\N,\N,\N,"Medium",\N
"show around","[""shows around"",""showing around"",""showed around"",""shown around""]","[""to lead someone around a place for the first time, so that they can see all parts of it""]","[""I’ll get someone to show you around."",""They sent someone to show me around the new offices.""]",0,\N,"Easy","[""ESSENTIAL""]"
"show in","[""shows in"",""showing in"",""showed in"",""shown in""]","[""to lead someone into a room where they are going to meet other people""]","[""When she arrives, show her straight in.""]",\N,\N,"Medium",\N
"show off","[""shows off"",""showing off"",""showed off"",""shown off""]","[""to behave in a way that is intended to attract people’s attention and make them admire you"",""to make something look very impressive or attractive"",""to show people something that you are very proud of so that they will admire it""]","[""\""I am so angry, I am shaking, thinking of poor little Daniel, trying so hard to please his big, handsome, show-off father."",""He was a show-off, determined that everyone sharing the same bit of road as him would see he was a big man with a flashy Jag."",""It was because if we'd met on neutral ground, he'd have been unable to show off his social `success'."",""Probably wanted to show off the fact that she could still get a man at her age."",""She couldn't wait to start walking around in full hedgehog gear so she could show off the whole outfit."",""She knew no coquetry until she saw grey cat's: did not pose, flirt, roll, scamper, or show off."",""The children start showing off the minute anyone comes into the house."",""The trousers were very tight-fitting, showing off her slim figure."",""Whatever the reason, the ceremonial uniforms were gorgeous, and Tristan wore his with the confidence of one born to show-off."",""Young musicians will get the chance to show off their musical skills.""]",2,"[""advertise"",""display"",""exhibit"",""parade""]","Easy",\N
"show out","[""shows out"",""showing out"",""showed out"",""shown out""]","[""to lead someone to the door by which they leave a place""]","[""Ask someone in the office to show you out.""]",\N,\N,"Medium",\N
"show over","[""shows over"",""showing over"",""showed over"",""shown over""]","[""to lead someone around a place in order to show them how interesting or attractive it is""]","[""She was busy showing some important guests over the factory.""]",\N,\N,"Medium",\N
"show round","[""shows round"",""showing round"",""showed round"",""shown round""]","[""same as show""]","[""He promised to show me round.""]",\N,\N,"Medium","[""ESSENTIAL""]"
"show through",\N,"[""when a feeling can be seen despite attempts to conceal it""]",\N,\N,\N,"Medium",\N
